304cdd9d-a04e-4eb2-865c-980a553a0efd,british,english
a5511b19-c0af-4886-ab1a-042980644dd2,french,chanson franaise
71bd1152-5ee2-4919-80d7-d269dfd48a55,alternative rock,emo
3697647f-1839-479e-98a1-9ad39004d923,acid house,alternative dance
265f242e-cf4e-4fbe-a3fe-43112387172f,downtempo,electronic
2adb429d-e39c-467b-b175-3f40440ff630,downtempo,british
debabff3-2559-46e5-862d-ef2a906d7010,blue-eyed soul,pop rock
f26c72d3-e52c-467b-b651-679c73d8e1a7,alternative rock,rock and indie
38b511a2-76fa-4a1e-9b7a-e2a6efa6399b,,
b15ebd71-a252-417d-9e1c-3e6863da68f8,alternative metal,alternative rock
66da25f9-1534-4dd1-b88c-718bc24e1ccd,alternative rock,crossover
39822e8d-f24e-4f07-b51b-28b22e59fbdb,thrash metal,00s
f180cec2-9421-4417-a841-c7372090d13d,indie rock,german
cfe85625-10af-46c1-99fb-765ed3a4f1ad,argentina,latin
7a519099-d4c8-46c8-805b-214dab0e58a2,si tu no vuelves,
561d854a-6a28-4aa7-8c99-323e6ce46c2a,jazz,jazz fusion
7cd2d860-c6d7-4be2-af50-57c51ee45687,american,indie rock
c0a1179b-b14a-4d68-a3c1-1fdab16ed602,hip hop,alternative
5533fa1c-4102-4ae7-92ae-78dddb17fe7f,folk metal,german
67d2cb7a-9ddb-4a7f-82bf-5a2d1a038e98,jazz,canadian
f57e14e4-b030-467c-b202-539453f504ec,melodic death metal,finnish
3c0eb318-d2ba-45aa-9077-b83746cc56da,alternative rock,dark cabaret
f467181e-d5e0-4285-b47e-e853dcc89ee7,electronic,instrumental
6ac47f31-3b2e-4f95-bef0-ce869af4ee98,,
31aa6f87-8d00-4ae9-a5cc-6d7eeea109d2,alternative dance,contemporary pop/rock
aa7a2827-f74b-473c-bd79-03d065835cf7,indie rock,art rock
d89de379-665d-425c-b2e9-41b95d1edb36,emo,post-hardcore
d700b3f5-45af-4d02-95ed-57d301bda93e,post-rock,scottish
0bfba3d3-6a04-4779-bb0a-df07df5b0558,rock,uk
47685be0-926f-4be9-b1ae-e32da47a3b99,brazilian,legio urbana
69158f97-4c07-4c4e-baf8-4e4ab1ed666e,electronic,idm
31aa8446-3dbf-4d22-9504-0f1bd58bf785,folk,british
449d58a3-3a99-4a8c-9611-d3654849f4f6,polish,
3eb72791-6322-466b-87d3-24d74901eb2d,pop,singer-songwriter
d614b0ad-fe3a-4927-b413-48cb831a814b,,
e6e1e76f-afee-4990-aad0-056199d94918,argentinian,
298909e4-ebcb-47b8-95e9-cc53b087fc65,american,metal
365144f7-85af-4c83-b24b-b1d0b26160bb,country,folk
e204ed91-3684-4561-b29b-d0b53f8459a7,new york,usa
3997d4a6-c2bd-4191-8406-eb07f0abb5d2,synthpop,alternative dance
c0eee88b-47f2-4cd2-ac48-a045e902a432,alternative rock,experimental rock
6c85f4c3-026c-4c16-9a7c-f546f42ed0fb,indie rock,american
94b7a39b-f3cc-4796-90dd-b1786a62877e,progressive rock,canterbury scene
4753fcb7-9270-493a-974d-8daca4e49125,country metal,
1b3e92d4-1c68-412d-a92d-1172f24f7de3,british,english
2f9ecbed-27be-40e6-abca-6de49d50299e,soul,gospel
852fb986-b0d9-4529-adaf-4f38bc1b1040,adult album alternative,pop rock
4d86ad4e-28d8-4e9f-8cf4-735c57060fdc,idm,dance and electronica
